제목	본문
가스라이팅하는 남친과 헤어졌어요	갑자기 추천이 너무 많아서 놀랬네다들 너무 고마워 댓글 하나하나 전부다 힘이되는것 같아나랑 비슷한 분들도 모두 힘내고 잘 헤쳐나가길 바랄게우리 행복해지자아 그리구 뭐만하면 가스라이팅이다 지겹다 하는 분들은 그것은 사랑이 아니다 라는 책 꼭 읽어봤으면 좋겠어가스라이팅을 최초로 정의한분이 쓰신 책이야원래 정말 아무것도 아닌 사소한것부터 서서히 물들어가는걸 가스라이팅이라고 하는데 사소해서 우리 주변에 더 많은거래 꼭 읽어봐아무튼 다들 너무 고마워남자친구와 년 만났는데 년동안 가스라이팅인지 모르다가 책보고 알게됐어가스라이팅인거 인지한후에는 내가 헤어지자고 했구나도 일하고 남자친구도 일했지만 남친은 항상 자기는 지금이 제일 바쁘고 힘든 시기라고 나보고 참아달라고 하고 못참으면 내가 예민하고 배려없다는식으로 말했거든예를들어 월까지 바빠서 참아달라고 하고 월이 되면 다음달 일 준비해야돼서 정신없다는식그래서 놀러간것도 손에 꼽을정도 자기 안바쁠때 여행가자고 말만한게 년째였어 나는 기다리고 실망하고 반복했고그외 사소한 대화에서도 나를 이상한사람처럼 얘기하거나 항상 내 의견에는 반대부터 하고 봤어만나는 년동안 자존감도 너무 떨어지고 우울하고 감정기복도 엄청 심했거든 정신과 약 처방받아 먹을정도로근데 헤어지고 나서는 웃음도 많아지고 기분이 계속 좋고 행복해서 신기해마음먹고 헤어진지 얼마 안돼서 그런지 머리는 남자친구랑 다시 만나고싶고 보고싶은데 잘해줬던것만 생각나서 통화목록만 봐도 슬퍼져 몸이나 마음컨디션은 더 좋아진것같아조울증도 조금 괜찮아졌구이제야 나를 되찾은 느낌이야 다들 가스라이팅 조심해
정국이가 왜 가사처럼 써달라 하겠냐	신곡이나  팬송  솔로곡에  맘에든 문장이나 약간 당발식으로 써주겠단거자늠  내가쓴 글을 정국이 불러준다생각해보셈
우리 회사 대 남자 대리님들 대화	 
힛맨뱅 많이 발전했네	투바투가 이제 얼굴형이랑 몸통도 그려주네 
남녀공학 다니는 판녀는 앙스타 보고가 세여	공학고등학교 다니는 판녀들아 너희 아침에 화장하고가 애들 화장해  추반이나 댓글남겨죠우 어 썅  이게 왜 실베지 걍 내가 궁금서 올린건데 실베라니 나 실베 첨임 개신기해 랄랄라 혹시 앙스타나 방탄 좋아하는 판녀들 번장에서 내 물건중에 맘에드는거 사가혹시 판녀인거 들킬까바 사진 지웠다  미안 거의 다 팔아가서 지운두 있어
태용 스우파 심사 일반인들 반응	심사평도 드럽게 못해서 통편집당하는데 비출때마다 헛소리만해서 욕만 바가지로 먹는중리정 노제 허니제이 스우파 스트릿우먼파이터 엔시티 엠넷 계속 통편집 부탁드려요 스엠압박으로 꽂았겠지만 중고나라 범죄자인 태용이 댄서 품평하는거 꼴보기싫으니까  
팬심 빼고 팬덤대중성 다 잡았던 아이돌 누구라고 생각함	난 팬심빼면 동방신기  방탄 워너원 소시
허니제이 진짜 압도적이였는데	허니제이 저걸 참네 진짜 보살인듯  나엿음 저지한테 한마디 했다
스우파 댄서들 이거 봐 제발  웃 김 	다  도라방스 진짜 이러니 개콘이 망하지 
이런 거 집에 두는 게 그렇게 잘못인가요	신랑이 아무짝에도  쓸모없는거라고버리라고  자꾸 그러네요   근데  저에게는  년  추억이  깃든  물건이에요 버릴수  없다고요  아니  이런거  하나  있는게  그렇게  잘못인가요    
갑자기 정우 얘기는 왜 함	고슴도치 가시갈이 할 때 뽑아줘야도와줘야 되는 거 아니냐 한거 아님 앞뒤 다자른영상 가지고 또 억까하려고 이네 
아리아나 그란데가 예리 인스타 좋아요 누름	김예림 개성덕  
블랙 핑크 제니 한국 최초	블핑 제니가 한국인 최초로 인스타 팔로워 오천만이래백만명도 대단해보이는데 오천만은 상상도 안간다 역시 퀸제니
해외에서 꼽은 존재해선 안 되었을 물건	 
요즘 들어 진짜 싫어진 사람 유형 이 거인 듯	 과몰입하는 애들진심 존나 싫음 물어보는 거랑 특징 연결짓는 건 재미있고 신기하다 쳐그게 조카 맨날 반복되고 뭐만 하면 역시 이러고뭔 행동만 하면 니가 이라 그래 이러고같은 엠비티아이인 애랑 자기 묶어서 우린 이라  이러면서 은연 중에 편 가르기  하고엠비티아이 하나로 주변인들 내려치기랑 자존감 조카 깎아내림그리고 이런 애들 할 이상이 온라인 상에서도 조카 음침  귀여운 척 착한 척 오짐  븅신 같아   함진짜 보면 볼 수록 지네들이 더 개븅신 같음 과몰입 똘추 같아성급한 일반화의 오류는 당연하고그냥 엠비티아이 핑계로 내세워서 남 깎아내리는 저급한 사람 같아서  현생에서 만나기 싫은 타입임이건 아까 주운 짤뷰티 틴트 마스카라 화장 엠비티아이 과몰입 학교 친구
윈터는 버블을 진짜 편하게 생각하는 듯	그냥 진짜 편하게 말하는 거 같아 몇 달 구독 했었고 팬인데 그렇게 느낌 마냥 나쁜 거라고는 할 수 없겠지만 버블이라도 말 조심했으면
연예인인 연예인  빨간 머리도 소화 해내는 비투비 민혁	이렇게까지 쨍한 빨간색  분홍색  어떻게 소화하는 거야 역시 연예인은 연예인임 군대까지 다녀왔는데 미모  자기 관리 빡시게 한 듯 
스우파 노제는 예쁜 게 죄다	여적여 봐라 심지어 노제가 소속이라는 되도 않는 루머까지 만들어서 까고 있음 취향 따라 갈리는건데 왜저러는지 모르겠다 솔직히 난 심사위원으로 전문댄서 데려와도 노제 뽑힐 것 같던데 
장원영 만큼 마르면 살찌울꺼야	애들이 장원영급으로 말랐다고 살 좀 쪄라는데 난 딱히 엄청 쪄야될 몸은 아니라고 생각하거든  너네같으면 찌워  키 이라서 지금 장원영 말고 프듀 장원영 몸이랑 비슷함 
전 에이프릴이현주가 해명해야 할 것들	현주는 자기가 나가고 잘돼가는 에이프릴을 보면서 앙심을 품은거 같음 이현주 된장찌개사태 라는 유튜브영상을 보면 오로지 자기가 중심이 돼야하고 모든 관심을 자기만 받아야  직성이 풀리는 그런성격인게 바로 보임 연예계에서 완전히 잊혀진체 에이프릴에 이를 갈다가 허위폭로한것으로 밖에 생각할수없음 이유는 그동안의 주장과 상반되는 사실이 계속 밝혀지고 있고 에이프릴 멤버들의 해명도 이현주의 주장과는 전혀상반되며증거를 모두 내놓고 있음 수많은 사람들이 해명하라는 요청에도 묵묵히 영상을 올리고 광고나 찍는 현주의 행태에 많은 사람들이 점점 등을 돌리고있음지금도 하루하루 고통속에 죽음까지 생각한다는억울하게 마녀사냥 당했을 확률이 높은  다른멤버들을 위해서도 반드시 진실이 밝혀져야함이건 에이프릴 팬이다 아니다 를 떠나서 죄없이 사회적으로 생매장된 명의 사람들을 구해내기 위해서임
정국 이 거 뭔 말이야	자기 노래를 만들어 달라는 거야 가사처럼이라 하니까 그런 얘기 아닌가 싶은데 
스우파 립제이 로 잘린	난 솔직히 립제이 로잘린 배틀 립제이가 이겼다고 생각하는데 물론 로잘린님도 잘 하셨지만 립제이쌤이 더 연륜있고 노래 분위기 맞춰서 잘했다 생각함 게다가 립제이 님 첫번째 받은 배틀곡은예전에 행사에서 저지쇼로 했던 노랜데 그걸 어케 지냐고아니 걍 그렇다고 립제이님이 넘 봐줬다 이건  
제일 최악인  뭐라고 생각해	난  얘네가 넘사인듯 진짜 본애들 중 는 개같은놈이었음 일단 지금 울반  지가 좋아하는 애가 나 좋아한다고걔한테 이간질 조카 시켜서 어장 치는애 만들고 하지도 않은짓 지가 꾸미고 설계해서 나한테 덤탱이 씌움 근데 너무 멍청해서 뭘 할려고 하면 눈에 다 보이는데 같아 진짜 개빡쳐서 나 좋아하는애한테 별 관심없었는데 걔랑 사겨서 참교육 해주고 싶음 
내년 최저임금 만원이 다 굳 	이제 년후이면 한달연봉 만원 가능할듯 굳굳 이게 우리 이 문통을 뽑은 이유지 가난없는새상 가즈아 
에이핑크 초롱	이번 논란 잘 정리 된 건가애초에 이 사건 터져도 워낙 평판이 좋아서인지멜론돌잔치며 광고며 계속 하고 뭐지 진짜해결 된 건가 
스우파 나만 이 해 안되나	리더 계급 메인댄서 선발전에서 리정이 상체 흔들림 없이 깔끔하게 너무 잘한 것 같은데 왜 안 뽑힌건지 이해 안됨 내가 캐치 못하는 포인트가 있는 건가 노제도 잘하긴 했는데 안정감이랑 깔끔함이 리정이 한 수 위였다고 봄 
윈터 욕하는 애들 햄스터에 대해 아무것도 모름	윈터 보고 합사하면 안되는 기본상식도 모르냐고 욕해대고 마리라는것에 무조건 흥분하는데햄스터는 자궁이 개라 임신한상태에서 또 임신할수도 있고 임신기간도 일에서 일 정도고 새끼를 한두마리 낳는게 아니라 많게는 열댓마리도 낳음 까는애들중에 이런사실 아는애도 거의없고 오랫동안 케이지에 여러마리 두고 고문시킨것마냥 몰고가는데 어이없네 짧은기간안에 번 출산하면 마리 금방 될수있는데 그리고 직후에 분리 안해줬다고 욕하는데 분리했는지 안했는지 어떻게 알아 분리 안해줬을거라고 추정하고 욕하는거 더 역겨움 또 한마리만 키우게 됐다고 나머지 마리 버렸단 얘기도 아니잖아 분양하거나 그랬겠지 욕 못해 안달난 인간들 많네
비투비 프니엘 더 보이즈 영훈 닮지 않음	킹덤 볼 때마다 생각했던건데 프니엘 머리 길었을 때랑 영훈이랑  닮은거같다고 생각을 함일단 마스크 쓴 사진 부터이건 프니엘이건 영훈인데 눈이 진짜 닮은듯 머리스타일 비슷하니까 더 닮은거같아이건 프니엘이건 영훈 인데 전반적이 느낌이 되게 비슷하지 않음 몰라 그냥 내 생각 적어봤어 둘 다 너무 내가 좋아하는 얼굴이라
인강 보다 지루해서 찌는 언니 화장품 스틸 후기 	인강보다가재미없어서화장품글쪄봄우선울언니는진짜화장품에미쳤다싶을정도로코덕이라이것저것많이사보는스타일임그래서나한테떨어지는콩고물이많아서이것저것써본거랑내돈내산한거후기쪄봄우선나는건성이고언니는수부지다보니까언니가좋다고쓰는거나한테안맞아서이것저것정착하기까지좀시간이걸렸음어릴때야여드름이나진정라인위주로쓰니까에뛰드나올영에서살았었거든그러다가언니랑같이백화점도가서이것저것써보고후기도찾아보면서정착해가고있당색조는조만간정리해서다시찔게우선스킨로션같은경우에는언니껀거의다안맞았음파워수부지라유분기없는거쓰니까나한텐넘가볍더라고유명한독도토너이거도언니는인생템이라고쟁여놓고쓰는데난안맞아서쓰다다시줌그래서아직인생템이다싶은걸못찾아서브랜드나라인별로여러개써보고있거든그래서딱이거다추천할게없어잘맞네싶으면꾸준히쓰는거추천해일단피부관리에는스킨로션은당연한거고앰플처음들어보는애들많더라구난앰플이진짜진짜중요하다생각해서이것저것많이써봤는데이거두개가쓰면서좀만족했던것들이야사진에서오른쪽꺼는엘라줄렌이라고피부과에서쓰는진정용앰플인데엄마가사줘서쓰고있어가끔피부뒤집어질때쓰는데진정에확실히효과좋아서떨어질때마다사놓고있어왼쪽꺼도앰플인데얘는끈적임없고촉촉해서초가을겨울에자주쓰고있어요즘같은날씨에쓰면딱임엘라줄렌이여드름진정용이면전초는촉촉하게피부결정돈해주는앰플로생각하면될듯왼쪽꺼는 백화점 브랜드고언니가할때자주사서그때마다뺏구있음헿난평소엔전초앰플쓰고가끔피부뒤집어진다여드름올라올것같다싶을땐오른쪽피부과앰플쓰고있어개인적으로는스킨로션보다는앰플쓰고단기간내에효과확실히봤어이건내가건성이라그럴수도있으니참고해줘다음은수분크림인데여름에도겨울에도정말중요한거야올영에서파는수딩젤같은거써도좋은데저닥터지가비싸긴해도진짜만족스럽고느낌도좋아내돈내산한첫화장품이야수분크림은아예정착했음오른쪽꺼는군대에서싸게파는거라고해서정가주고사기좀아깝기도한데진짜괜찮은것같아닥터지자체가올영에서세일을자주하니까세일노렸다가사는게이득임마스크쓰는요즘또픽서를안쓸수가없지왼쪽라이트벨벳미스트는기름종이역할을해주는픽서라서화장다하고살짝뿌려주면기름기좀잡아주는역할을하는미스트고가운데는베이스파우더전에그리고메이크업다끝나고뿌려서고정시켜주는역할로무난무난하게좋은픽서고오른쪽은수분감유지에되게좋고베이스하기전에화장안밀리게하고싶은사람들그리고고정시키고싶은사람들이쓰기딱좋아요건투쿨픽서인데얘는내돈내산한거메베대비가성비좋아서추가해봤어질문있으면댓글로받을게돈받은거없고언니한테받은거랑유튜브보고사본것들임프라이머안쓰는사람들많은것같아서프라이머도추가해봤어스킨케어끝나고화장하기전에프라이머를싹발라야화장발림성도좋고모공같은것도좀가려줘서난무조건필수로사용하는데모르는사람들이많더라구왼쪽은내가수능끝나고제일처음샀던프라이머베네피트는알사람들은알텐데모르는사람보여주려고갖고온거고 언니가좋아하는브랜드라자주빌려써서넣어봤어베네피트가격대가좀있어서부담스러우면이니스프리추천함 
악플을 쓰면 안 되는 이유	 
동화 느낌 나는 노래 추천해주라	들으면 동화 속 들어간 느낌나는 노래방탄소년단 트와이스 블랙핑크 엑소 엔시티 세븐틴 에이비식스 레드벨벳 몬스타엑스 우주소녀 에이티즈 투바투 에스에프나인 더보이즈 스키즈 에스에프나인 비투비 에스파 스테이씨 
이현주 여론 뒤집힘	나 에이프릴 알바들 유튜브로 지들만의 리그하고 여론은 현주 편이라고 굳게 믿었거든 최근 판에서 올라온 유니티 멤버들 등등 인스타랑 인증글도 그렇고 그런데 최근에 사건사고 유튜버 그 사람이 사과할 때 에이프릴 옹호하는 계정들 많아 보여서  그 사람들도 알바겠거니 했는데 작년 재작년 계정들이 맨 위에 있어 뭐지
근디 혹시 충 자 대체할 말 있음	 재능충만큼 어감 잘 사는 단어 없긴 한데 아주 혹시 친구가 기분 나쁠 수 있어서재능충 대체할만한 찰떡인 단어 아는 사람 있나요 
방탄 가사 조카 충격임	넌 나 없이 못 사니까 라니이거 공개 됐을 때 팬들 반응 어땠음엥 머야 톡선이라니 이건 멜론 베댓에서 주움 마인드 멋지네 
본진 웃긴 포카 이름 있냐	있으면 좀 알려줘스테이 친구가 이거 아닥승민이라는데 개웃김스트레이키즈 스키즈 더보이즈 에이티즈 비투비  투바투 트레저 온앤오프 있지 트와이스 블랙핑크 스테이씨 오마이걸 에스파 레드벨벳 
너네 싫다고 떠난 사람한테 제발 매달리지 마 퍼옴	당분간 힘날듯고마워너네 싫다고 떠난사람 붙잡고 매달리지마 제발싫어서 떠난게 아니라 다른이유가 있다고 생각해그럼 그새끼가 너네한테 헤어지자고 하면서 했던 모든말을 한마디로 정리해줄게난 이제 니가 싫다 너 재미없고 딴사람만나고싶어 나이제 너 안사랑하니까 가라 질려 널 위해 노력하고 싶은 마음 이제 하나도 없다극단적으로 말하면 딱 이거야 무슨 어쩔 수 없는 상황이고 나발이고 너가 괜찮다고 하는데도 이별을 고하는사람이라면프로다아니라고 지랄하는놈들 다 개구라다 아니라고 하는새끼들 다  끝까지 이미지관리다극단적이지만 이게 맞다 이제 너를 사랑하고 싶지도 않고 안사랑하는거야한번정도 매달린건 괜찮아 그 이상은 절대 하지마허용되는 매달림은 딱한번이야 처음에 헤어지고 바로 매달린거 말고시간이 어느정도 흐른뒤에 매달리는거 딱한번 그 이상은 매달리지 않았으면 좋겠다제발 정신차리고남 좋을일좀 하지마너네가 못잊고 있는거 보면서즐기는 미친놈들도 있고맘에 없는데도 애매한행동으로 못잊게 하려는놈들괜히 카톡보는거 알면서 의미심장한글 올리는놈들그런 나쁜놈들도 많아 진짜 나쁜놈인데  내가 남자라서 안다그래 진짜 자기가 이별통보 해놓고 힘들어서 티내는 사람이 있을 수도 있을거야근데 진짜 힘든거 티낼뿐이지  돌아가고 싶은건 아냐돌아가고 싶다면 그런걸로 티낼시간에 연락을 하겠지 비겁하게 그런식으로 나좀잡아줘 나이렇게 힘들다  이런 티내기 전에간절하지도 않고 반응도 떠보고싶어서 티만내고 가만있는거야 이런새끼도 잡지마 용기도 없고 자존심만 세우고 비겁한놈들이다미안해서 못잡는다는건 개뿔 헛소리정말 미안해서 마지막으로라도 잘해주고 싶은맘이 더크면 돌아오겠지미안하다는 생각은 있는데 상처줄까봐 걱정이라는 새끼는 걍 아웃 자신이 없다는건곧또다시 되풀이 될 수 있다는거야내 주변에는 자기한테 매달린다고 귀찮다고 짜증난다고 말하는 놈들도 있어 친구들한테자기가 잘나서 여친이 자기한테 매달리는거라고 착각하는 놈들도 있어 누가봐도 여자가 아까운데 누가봐도너네가 잡을수록 그놈 자신감만 충만해져 너가 약자입장 그사람은 강자입장 그 사랑에 대한 선택권은 강자한테 있잖아너는 진심으로 사랑해서 잡을뿐인데 넌 아무조건 없이 그사랑을 주고 싶을뿐이고 그사람을 곁에두고싶을뿐인데너의 그사람을 향한 마음이 상대에게는 갈등의 소지가 되고 그 누군가의 선택을 기다려야한다면 억울하지 않아상처주기 싫어서 안돌아간다는것그말 믿는 멍청이는없지그냥 사랑하는 맘이 없어서 안돌아가는거다 절대 그런 이미지 관리용 포장용 그런 멘트에 속지말길속깊은 사람이니까 그럴수 있다고  합리화하지마세요 아닙니다상처주기 싫으면 아무도 만나지말지  잡는사람은 그 상처 다 감수하고 잡는거잖아 그새낀 그냥 같이 노력할 생각이 없는거다이 애가 나를 정말 사랑해서 매달리는구나 이런생각 하는 새끼라면 그 사실에 고마워한다면  진작에 돌아가겠지매달릴때 고마워하면서 돌아가는 놈이 아니라면 대부분 지가 잘났다고 착각하고 있다 그러면서 무슨생각을 하냐이런애도 나한테 매달리는데 난 더 괜찮은 사람 사귈 수 있겠구나 나 괜찮은놈이구나 내가 못해줬는데도 이렇게 매달리네 이런 미친생각을 해그니까 너네 싫다고 떠난 남자한테 매달리지마너네가 매달리는 순간은 절대 고마운거 못느껴너네 싫다고 간건데 고마워하겠어 싫으면 싫었지너네가 이제 다 포기하고 맘정리하고 이제 니 삶 찾을때야 느껴 아 애가 나 진짜 사랑했구나 하고 느낀다 그때 후회해 그게 흔히 말하는 후폭풍그리고 혹시라도 니가 죽을듯이 매달리고 매달려서 상대방이 돌아왔어 행복할거같아남자든여자든 절대 행복할 수없어오히려 더 아프게 끝날거야 빈껍데기를 사랑하는거나 같아그럼 몇배의 상처를 받게된다 그리고 어떤상황이 연출이 되냐매달려서 억지로 돌아온 상대방은 너랑 트러블이 생기면 아 이럴거면 헤어지든지이런식으로 행동하면서 니가 헤어지고 싶어하지 않는 착한 맘을 이용하려들거다다시 한번 말하는데너네가 매달리면 절대 안된다너네가매달리면 진짜로 안된다고그냥 연락오면 오는가보다하고 안오면 잊었나보다 나 아니여도 되나보다하고 잊어너네가 진심으로 사랑했다면 나중에 깨닫고 후회할 날 있어솔직히 나는 그때도 받아주지 말라고 하고싶다 이건 너네 자유지만매달리지도 말고 연락도 하지마 그게 맞는거야왠만하면 번호도 바꿔버리고 연락할 수 있는 수단 다 끊으라고 하고 싶지만못하겠지너넨 기다리는 입장이니까나중에 생각하면 너네가 흘린 눈물이 아깝고 그 시간이 아까울 날도 온다 시간버리지마너네 싫다고 떠난사람때문에 보내는 시간도 아까워 진짜 아까운시간이야 그놈은 잘살고있거든너네 싫다고 떠난 놈들은 너네가 아픈만큼 아파하지도 않아그리고 바보처럼 너네 버린사람한테 못해준거 못다준 사랑때문에 미안해하고 괴로워하지마 울필요도 없다그 새낀 뭐 잘했어 왜 그리 착해빠져서 못해준거에 미련갖나 모르겠다더 잘해줄거라는데더 해주고 싶은게 있다는데도 간사람이야아쉬워도 걔가 아쉬울일이지 넌 아쉬울필요 없어너는 사랑주고싶다 고치고싶다 잘하고싶다는데도 지가 지발로 복 차고 나간거야그니까 못해준것에 대한 미안함과 미련같은거 고쳐먹으시길또 혹시라도 그사람도 나를 못잊고 슬퍼하고 있지 않을까 라는 기대도 하지마시길슬퍼하긴하겠지근데 너네가 생각하는 수준보다 훨씬 아주아주 잘살고있어너네가 힘들어하는거에 비하면 새발의 피야너네 매달리는거 보고 즐거워할수도 있고 정떨어져할수도 있어 너네만 아픈게 억울해 불공평해아니 세상 공평해 그게 후폭풍이야 진심이였다면 반드시그니까는 앞으로도 절대 매달리지도 말고절대 뒤돌아보지도마 당당하게 너 할일해 그사람과 만나기 전의 침울하지 않던 너의 모습을 먼저 찾아서로 진심으로 깨닫고 알아야 진정한 재회고 그 만남만이 더 오래 지속될 수 있어그리고 여기 헤다판도 진짜 들어오지마 여기 우리누나도 맨날 들어와서 보면서 울고있을때마다 진짜 짜증난다 
